0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90+
1696,2523,3455,3847,4048,3339,1859,681,70
1704,2532,3466,3860,4059,3348,1867,681,70
1724,2577,3510,3908,4118,3379,1890,692,72
1750,2624,3584,4014,4207,3431,1925,699,72
1775,2668,3659,4101,4292,3509,1951,716,72
1809,2736,3744,4210,4389,3590,1987,721,73
1859,2800,3848,4335,4505,3688,2028,735,73
1889,2868,3927,4421,4580,3755,2055,751,73
1892,2882,3942,4443,4593,3764,2060,752,74
1931,2942,4042,4555,4722,3853,2097,771,76
1972,3022,4182,4722,4878,3972,2161,788,77
2033,3126,4343,4892,5039,4072,2204,806,78
2093,3253,4502,5060,5210,4210,2277,822,80
2133,3362,4708,5279,5416,4348,2335,843,81
2183,3442,4815,5386,5542,4423,2374,860,83
2198,3499,4917,5466,5622,4459,2393,866,83
2262,3600,5092,5669,5837,4633,2467,880,87
2352,3791,5365,5953,6068,4781,2562,903,88
2439,4006,5611,6261,6325,4971,2675,954,93
2560,4231,5918,6565,6615,5185,2765,991,100
2654,4411,6175,6963,6934,5414,2850,1011,107
2713,4537,6420,7166,7100,5546,2932,1036,112
2736,4645,6465,7208,7145,5590,2944,1044,112
2853,4897,6931,7759,7563,5871,3063,1080,115
2996,5245,7449,8363,8030,6199,3184,1116,119
3136,5599,8026,8966,8565,6559,3332,1156,122
3291,5908,8592,9572,9072,6907,3486,1197,125
3483,6223,9132,10218,9635,7308,3665,1247,130
3568,6418,9510,10614,9978,7548,3786,1290,132
3619,6567,9771,10911,10225,7676,3858,1306,136
3727,6836,10250,11459,10679,8028,4024,1355,138
3882,7211,11053,12386,11513,8585,4301,1455,151
4034,7620,11841,13307,12322,9188,4574,1548,157
4196,8020,12568,14108,13074,9746,4842,1626,165
4346,8397,13268,14900,13856,10364,5174,1704,175
4436,8626,13696,15397,14284,10745,5351,1770,180
4466,8698,13833,15531,14401,10853,5419,1778,181
4583,9040,14553,16407,15195,11443,5703,1865,187
4707,9490,15356,17357,16118,12133,6027,1982,196
4806,9821,16061,18177,16963,12809,6374,2097,203
4887,10094,16662,18943,17715,13353,6659,2197,215
4997,10484,17380,19817,18647,14004,7077,2310,221
5067,10716,17802,20333,19127,14471,7316,2374,229
5075,10775,17911,20495,19310,14633,7423,2399,230
5145,11080,18568,21233,20048,15250,7710,2501,235
5256,11482,19399,22261,21088,16079,8143,2640,250
5340,11793,20027,23042,21971,16808,8544,2753,258
5438,12134,20635,23782,22859,17469,8948,2891,279
5526,12458,21264,24533,23702,18208,9351,3072,304
5586,12622,21597,24982,24177,18606,9614,3193,320
5606,12694,21763,25197,24387,18834,9761,3250,328
5666,12957,22258,25852,25088,19365,10088,3359,333
5772,13258,22938,26753,26118,20140,10545,3477,347
5861,13573,23506,27466,26913,20831,10946,3602,362
5929,13821,23999,28131,27683,21561,11375,3757,372
6010,14062,24516,28745,28358,22240,11764,3879,381
6044,14199,24782,29026,28733,22608,11999,3967,389
6059,14252,24897,29152,28890,22752,12092,4001,391
6120,14430,25284,29739,29495,23307,12415,4104,406
6177,14678,25777,30393,30306,24006,12778,4245,415
6230,14895,26252,30955,30980,24612,13177,4388,424
