date,date,province,pred,error,value
2020-06-13,2020-06-13,Burgas,55.42857142857143,3.4622020895554053,55.42857142857143
2020-06-14,2020-06-14,Burgas,55.857142857142854,3.4622020895554053,55.857142857142854
2020-06-15,2020-06-15,Burgas,56.285714285714285,3.4622020895554053,56.285714285714285
2020-06-16,2020-06-16,Burgas,56.714285714285715,3.4622020895554053,56.714285714285715
2020-06-17,2020-06-17,Burgas,56.857142857142854,3.4622020895554053,56.857142857142854
2020-06-18,2020-06-18,Burgas,57.0,3.4622020895554053,57.0
2020-06-19,2020-06-19,Burgas,57.142857142857146,3.4622020895554053,57.142857142857146
2020-06-20,2020-06-20,Burgas,57.285714285714285,3.4622020895554053,57.285714285714285
2020-06-21,2020-06-21,Burgas,57.857142857142854,3.4622020895554053,57.857142857142854
2020-06-22,2020-06-22,Burgas,58.57142857142857,3.4622020895554053,58.57142857142857
2020-06-23,2020-06-23,Burgas,59.857142857142854,3.4622020895554053,59.857142857142854
2020-06-24,2020-06-24,Burgas,62.42857142857143,3.4622020895554053,62.42857142857143
2020-06-25,2020-06-25,Burgas,65.71428571428571,3.4622020895554053,65.71428571428571
2020-06-26,2020-06-26,Burgas,69.42857142857143,3.4622020895554053,69.42857142857143
2020-06-27,2020-06-27,Burgas,75.28571428571429,3.4622020895554053,75.28571428571429
2020-06-28,2020-06-28,Burgas,81.85714285714286,3.4622020895554053,81.85714285714286
2020-06-29,2020-06-29,Burgas,88.42857142857143,3.4622020895554053,88.42857142857143
2020-06-30,2020-06-30,Burgas,95.14285714285714,3.4622020895554053,95.14285714285714
2020-07-01,2020-07-01,Burgas,101.14285714285714,3.4622020895554053,101.14285714285714
2020-07-02,2020-07-02,Burgas,107.42857142857143,3.4622020895554053,107.42857142857143
2020-07-03,2020-07-03,Burgas,114.28571428571429,3.4622020895554053,114.28571428571429
2020-07-04,2020-07-04,Burgas,119.14285714285714,3.4622020895554053,119.14285714285714
2020-07-05,2020-07-05,Burgas,124.0,3.4622020895554053,124.0
2020-07-06,2020-07-06,Burgas,128.71428571428572,3.4622020895554053,128.71428571428572
2020-07-07,2020-07-07,Burgas,132.71428571428572,3.4622020895554053,132.71428571428572
2020-07-08,2020-07-08,Burgas,137.0,3.4622020895554053,137.0
2020-07-09,2020-07-09,Burgas,140.85714285714286,3.4622020895554053,140.85714285714286
2020-07-10,2020-07-10,Burgas,144.28571428571428,3.4622020895554053,144.28571428571428
2020-07-11,2020-07-11,Burgas,149.14285714285714,3.4622020895554053,149.14285714285714
2020-07-12,2020-07-12,Burgas,154.57142857142858,3.4622020895554053,154.57142857142858
2020-07-13,2020-07-13,Burgas,160.71428571428572,3.4622020895554053,160.71428571428572
2020-07-14,2020-07-14,Burgas,166.85714285714286,3.4622020895554053,166.85714285714286
2020-07-15,2020-07-15,Burgas,173.57142857142858,3.4622020895554053,173.57142857142858
2020-07-16,2020-07-16,Burgas,181.71428571428572,3.4622020895554053,181.71428571428572
2020-07-17,2020-07-17,Burgas,191.14285714285714,3.4622020895554053,191.14285714285714
2020-07-18,2020-07-18,Burgas,199.14285714285714,3.4622020895554053,199.14285714285714
2020-07-19,2020-07-19,Burgas,208.14285714285714,3.4622020895554053,208.14285714285714
2020-07-20,2020-07-20,Burgas,216.57142857142858,3.4622020895554053,216.57142857142858
2020-07-21,2020-07-21,Burgas,226.0,3.4622020895554053,226.0
2020-07-22,2020-07-22,Burgas,234.71428571428572,3.4622020895554053,234.71428571428572
2020-07-23,2020-07-23,Burgas,243.71428571428572,3.4622020895554053,243.71428571428572
2020-07-24,2020-07-24,Burgas,251.57142857142858,3.4622020895554053,251.57142857142858
2020-07-25,2020-07-25,Burgas,260.57142857142856,3.4622020895554053,260.57142857142856
2020-07-26,2020-07-26,Burgas,267.42857142857144,3.4622020895554053,267.42857142857144
2020-07-27,2020-07-27,Burgas,274.85714285714283,3.4622020895554053,274.85714285714283
2020-07-28,2020-07-28,Burgas,282.14285714285717,3.4622020895554053,282.14285714285717
2020-07-29,2020-07-29,Burgas,289.85714285714283,3.4622020895554053,289.85714285714283
2020-07-30,2020-07-30,Burgas,296.2857142857143,3.4622020895554053,296.2857142857143
2020-07-31,2020-07-31,Burgas,302.85714285714283,3.4622020895554053,302.85714285714283
2020-08-01,2020-08-01,Burgas,309.42857142857144,3.4622020895554053,309.42857142857144
2020-08-02,2020-08-02,Burgas,315.57142857142856,3.4622020895554053,315.57142857142856
2020-08-03,2020-08-03,Burgas,321.14285714285717,3.4622020895554053,321.14285714285717
2020-08-04,2020-08-04,Burgas,326.0,3.4622020895554053,326.0
2020-08-05,2020-08-05,Burgas,331.0,3.4622020895554053,331.0
2020-08-06,2020-08-06,Burgas,335.42857142857144,3.4622020895554053,335.42857142857144
2020-08-07,2020-08-07,Burgas,340.2857142857143,3.4622020895554053,340.2857142857143
2020-08-08,2020-08-08,Burgas,344.7142857142857,3.4622020895554053,344.7142857142857
2020-08-09,2020-08-09,Burgas,349.14285714285717,3.4622020895554053,349.14285714285717
2020-08-10,2020-08-10,Burgas,353.42857142857144,3.4622020895554053,353.42857142857144
2020-08-11,2020-08-11,Burgas,358.0,3.4622020895554053,358.0
2020-08-12,2020-08-12,Burgas,362.0,3.4622020895554053,362.0
2020-08-13,2020-08-13,Burgas,365.7142857142857,3.4622020895554053,365.7142857142857
2020-08-14,2020-08-14,Burgas,368.57142857142856,3.4622020895554053,368.57142857142856
2020-08-15,2020-08-15,Burgas,371.14285714285717,3.4622020895554053,371.14285714285717
2020-08-16,2020-08-16,Burgas,373.85714285714283,3.4622020895554053,373.85714285714283
2020-08-17,2020-08-17,Burgas,376.57142857142856,3.4622020895554053,376.57142857142856
2020-08-18,2020-08-18,Burgas,379.0,3.4622020895554053,379.0
2020-08-19,2020-08-19,Burgas,381.57142857142856,3.4622020895554053,381.57142857142856
2020-08-20,2020-08-20,Burgas,384.42857142857144,3.4622020895554053,384.42857142857144
2020-08-21,2020-08-21,Burgas,387.14285714285717,3.4622020895554053,387.14285714285717
2020-08-22,2020-08-22,Burgas,389.7142857142857,3.4622020895554053,389.7142857142857
2020-08-23,2020-08-23,Burgas,392.14285714285717,3.4622020895554053,392.14285714285717
2020-08-24,2020-08-24,Burgas,394.85714285714283,3.4622020895554053,394.85714285714283
2020-08-25,2020-08-25,Burgas,398.0,3.4622020895554053,398.0
2020-08-26,2020-08-26,Burgas,401.7142857142857,3.4622020895554053,401.7142857142857
2020-08-27,2020-08-27,Burgas,405.14285714285717,3.4622020895554053,405.14285714285717
2020-08-28,2020-08-28,Burgas,408.2857142857143,3.4622020895554053,408.2857142857143
2020-08-29,2020-08-29,Burgas,411.42857142857144,3.4622020895554053,411.42857142857144
2020-08-30,2020-08-30,Burgas,415.2857142857143,3.4622020895554053,415.2857142857143
2020-08-31,2020-08-31,Burgas,418.85714285714283,3.4622020895554053,418.85714285714283
2020-09-01,2020-09-01,Burgas,422.14285714285717,3.4622020895554053,422.14285714285717
2020-09-02,2020-09-02,Burgas,427.7142857142857,3.4622020895554053,427.7142857142857
2020-09-03,2020-09-03,Burgas,434.42857142857144,3.4622020895554053,434.42857142857144
2020-09-04,2020-09-04,Burgas,441.2857142857143,3.4622020895554053,441.2857142857143
2020-09-05,2020-09-05,Burgas,448.14285714285717,3.4622020895554053,448.14285714285717
2020-09-06,2020-09-06,Burgas,457.2857142857143,3.4622020895554053,457.2857142857143
2020-09-07,2020-09-07,Burgas,466.57142857142856,3.4622020895554053,466.57142857142856
2020-09-08,2020-09-08,Burgas,476.57142857142856,3.4622020895554053,476.57142857142856
2020-09-09,2020-09-09,Burgas,484.85714285714283,3.4622020895554053,484.85714285714283
2020-09-10,2020-09-10,Burgas,494.0,3.4622020895554053,494.0
2020-09-11,2020-09-11,Burgas,503.85714285714283,3.4622020895554053,503.85714285714283
2020-09-12,2020-09-12,Burgas,515.0,3.4622020895554053,515.0
2020-09-13,2020-09-13,Burgas,523.2857142857143,3.4622020895554053,523.2857142857143
2020-09-14,2020-09-14,Burgas,531.4285714285714,3.4622020895554053,531.4285714285714
2020-09-15,2020-09-15,Burgas,542.0,3.4622020895554053,542.0
2020-09-16,2020-09-16,Burgas,551.8571428571429,3.4622020895554053,551.8571428571429
2020-09-17,2020-09-17,Burgas,561.5714285714286,3.4622020895554053,561.5714285714286
2020-09-18,2020-09-18,Burgas,571.5714285714286,3.4622020895554053,571.5714285714286
2020-09-19,2020-09-19,Burgas,580.7142857142857,3.4622020895554053,580.7142857142857
2020-09-20,2020-09-20,Burgas,590.1428571428571,3.4622020895554053,590.1428571428571
2020-09-21,2020-09-21,Burgas,599.7142857142857,3.4622020895554053,599.7142857142857
2020-09-22,2020-09-22,Burgas,608.1428571428571,3.4622020895554053,608.1428571428571
2020-09-23,2020-09-23,Burgas,616.5714285714286,3.4622020895554053,616.5714285714286
2020-09-24,2020-09-24,Burgas,626.5714285714286,3.4622020895554053,626.5714285714286
2020-09-25,2020-09-25,Burgas,637.5714285714286,3.4622020895554053,637.5714285714286
2020-09-26,2020-09-26,Burgas,651.1428571428571,3.4622020895554053,651.1428571428571
2020-09-27,2020-09-27,Burgas,665.5714285714286,3.4622020895554053,665.5714285714286
2020-09-28,2020-09-28,Burgas,680.1428571428571,3.4622020895554053,680.1428571428571
2020-09-29,2020-09-29,Burgas,701.5714285714286,3.4622020895554053,701.5714285714286
2020-09-30,2020-09-30,Burgas,725.1428571428571,3.4622020895554053,725.1428571428571
2020-10-01,2020-10-01,Burgas,747.8571428571429,3.4622020895554053,747.8571428571429
2020-10-02,2020-10-02,Burgas,770.8571428571429,3.4622020895554053,770.8571428571429
2020-10-03,2020-10-03,Burgas,794.1428571428571,3.4622020895554053,794.1428571428571
2020-10-04,2020-10-04,Burgas,816.8571428571429,3.4622020895554053,816.8571428571429
2020-10-05,2020-10-05,Burgas,839.8571428571429,3.4622020895554053,839.8571428571429
2020-10-06,2020-10-06,Burgas,854.7142857142857,3.4622020895554053,854.7142857142857
2020-10-07,2020-10-07,Burgas,871.5714285714286,3.4622020895554053,871.5714285714286
2020-10-08,2020-10-08,Burgas,889.7142857142857,3.4622020895554053,889.7142857142857
2020-10-09,2020-10-09,Burgas,909.7142857142857,3.4622020895554053,909.7142857142857
2020-10-10,2020-10-10,Burgas,930.0,3.4622020895554053,930.0
2020-10-11,2020-10-11,Burgas,950.1428571428571,3.4622020895554053,950.1428571428571
2020-10-12,2020-10-12,Burgas,969.7142857142857,3.4622020895554053,969.7142857142857
2020-10-13,2020-10-13,Burgas,994.2857142857143,3.4622020895554053,994.2857142857143
2020-10-14,2020-10-14,Burgas,1017.8571428571429,3.4622020895554053,1017.8571428571429
2020-10-15,2020-10-15,Burgas,1042.142857142857,3.4622020895554053,1042.142857142857
2020-10-16,2020-10-16,Burgas,1070.857142857143,3.4622020895554053,1070.857142857143
2020-10-17,2020-10-17,Burgas,1102.0,3.4622020895554053,1102.0
2020-10-18,2020-10-18,Burgas,1137.0,3.4622020895554053,1137.0
2020-10-19,2020-10-19,Burgas,1172.857142857143,3.4622020895554053,1172.857142857143
2020-10-20,2020-10-20,Burgas,1211.7142857142858,3.4622020895554053,1211.7142857142858
