province,date,new_cases
Blagoevgrad,2020-11-23,7.0
Blagoevgrad,2020-11-24,194.0
Blagoevgrad,2020-11-25,147.0
Blagoevgrad,2020-11-26,155.0
Blagoevgrad,2020-11-27,129.0
Blagoevgrad,2020-11-28,126.0
Blagoevgrad,2020-11-29,67.0
Blagoevgrad,2020-11-30,13.0
Blagoevgrad,2020-12-01,131.0
Blagoevgrad,2020-12-02,119.0
Blagoevgrad,2020-12-03,196.0
Blagoevgrad,2020-12-04,116.0
Blagoevgrad,2020-12-05,187.0
Blagoevgrad,2020-12-06,53.0
Blagoevgrad,2020-12-07,10.0
Blagoevgrad,2020-12-08,178.0
Blagoevgrad,2020-12-09,114.0
Blagoevgrad,2020-12-10,125.0
Blagoevgrad,2020-12-11,106.0
Blagoevgrad,2020-12-12,118.0
Blagoevgrad,2020-12-13,43.0
Blagoevgrad,2020-12-14,9.0
Blagoevgrad,2020-12-15,110.0
Blagoevgrad,2020-12-16,106.0
Blagoevgrad,2020-12-17,68.0
Blagoevgrad,2020-12-18,88.0
Blagoevgrad,2020-12-19,68.0
Blagoevgrad,2020-12-20,29.0
Blagoevgrad,2020-12-21,0.0
Blagoevgrad,2020-12-22,68.0
Blagoevgrad,2020-12-23,50.0
Blagoevgrad,2020-12-24,58.0
Blagoevgrad,2020-12-25,23.0
Blagoevgrad,2020-12-26,7.0
Blagoevgrad,2020-12-27,28.0
Blagoevgrad,2020-12-28,1.0
Blagoevgrad,2020-12-29,10.0
Blagoevgrad,2020-12-30,54.0
Blagoevgrad,2020-12-31,53.0
Blagoevgrad,2021-01-01,41.0
Blagoevgrad,2021-01-02,9.0
Blagoevgrad,2021-01-03,4.0
Blagoevgrad,2021-01-04,2.0
Blagoevgrad,2021-01-05,24.0
Blagoevgrad,2021-01-06,41.0
Blagoevgrad,2021-01-07,23.0
Blagoevgrad,2021-01-08,20.0
Blagoevgrad,2021-01-09,37.0
Blagoevgrad,2021-01-10,20.0
Blagoevgrad,2021-01-11,2.0
Blagoevgrad,2021-01-12,48.0
Blagoevgrad,2021-01-13,47.0
Blagoevgrad,2021-01-14,17.0
Blagoevgrad,2021-01-15,37.0
Blagoevgrad,2021-01-16,20.0
Blagoevgrad,2021-01-17,6.0
Blagoevgrad,2021-01-18,0.0
Blagoevgrad,2021-01-19,31.0
Blagoevgrad,2021-01-20,14.0
Blagoevgrad,2021-01-21,13.0
Blagoevgrad,2021-01-22,9.0
Blagoevgrad,2021-01-23,21.0
Blagoevgrad,2021-01-24,5.0
Blagoevgrad,2021-01-25,2.0
Blagoevgrad,2021-01-26,20.0
Blagoevgrad,2021-01-27,52.0
Blagoevgrad,2021-01-28,26.0
Blagoevgrad,2021-01-29,35.0
Blagoevgrad,2021-01-30,15.0
Blagoevgrad,2021-01-31,0.0
Blagoevgrad,2021-02-01,18.0
Blagoevgrad,2021-02-02,39.0
Blagoevgrad,2021-02-03,33.0
Blagoevgrad,2021-02-04,24.0
Blagoevgrad,2021-02-05,45.0
Blagoevgrad,2021-02-06,45.0
Blagoevgrad,2021-02-07,19.0
Blagoevgrad,2021-02-08,27.0
Blagoevgrad,2021-02-09,74.0
Blagoevgrad,2021-02-10,59.0
Blagoevgrad,2021-02-11,41.0
Blagoevgrad,2021-02-12,40.0
Blagoevgrad,2021-02-13,31.0
Blagoevgrad,2021-02-14,18.0
Blagoevgrad,2021-02-15,2.0
Blagoevgrad,2021-02-16,72.0
Blagoevgrad,2021-02-17,52.0
Blagoevgrad,2021-02-18,53.0
Blagoevgrad,2021-02-19,39.0
Blagoevgrad,2021-02-20,57.0
Blagoevgrad,2021-02-21,9.0
Blagoevgrad,2021-02-22,4.0
